ID,Bagian,Aspek,Indikator,Tipe,Skor_4,Skor_3,Skor_2,Skor_1,Keterangan
a1,A,Wajib,Orangtua/Ibu/Wali bersedia mendukung calon PM dalam aktivitas program YES dari awal sampai akhir,Ya/Tidak,,,,,"Jika terdapat jawaban tidak, walau hanya satu dari tiga indikator di atas maka dinyatakan Tidak Lolos.									"
a2,A,Wajib,Orangtua/Ibu/Wali bersedia bersinergi dengan YES dalam memantau perkembangan calon PM,Ya/Tidak,,,,,"Jika terdapat jawaban tidak, walau hanya satu dari tiga indikator di atas maka dinyatakan Tidak Lolos.									"
a3,A,Wajib,Orangtua/Ibu/Wali bersedia mendukung calon PM untuk melanjutkan pendidikan ke perguruan tinggi,Ya/Tidak,,,,,"Jika terdapat jawaban tidak, walau hanya satu dari tiga indikator di atas maka dinyatakan Tidak Lolos.									"
b1,B,Latar Belakang Keluarga,Pekerjaan Orangtua/Ibu/Wali calon penerima manfaat,Skala 1-4,Orangtua/Ibu/Wali bekerja di sektor formal dan bukan satu-satunya tulang punggung keluarga,Orangtua/Ibu/Wali bekerja di sektor formal dan menjadi satu-satunya tulang punggung keluarga,Orangtua/Ibu/Wali bekerja di sektor informal dan bukan satu-satunya tulang punggung keluarga,Orangtua/Ibu/Wali bekerja di sektor informal dan menjadi satu-satunya tulang punggung keluarga,"Jika skor di bawah 71 keterangannya tidak disarankan, jika skor di bawah 86 keterangan dipertimbangkan, jika skor diatas 86 keterangannya disarankan"
b2,B,Latar Belakang Keluarga,Penghasilan Orangtua/Ibu/Wali calon penerima manfaat,Skala 1-5,< Rp4.000.001,Rp3.000.001 - Rp4.000.000,Rp1.500.001 - Rp3.000.000,? Rp1.500.000,"Jika skor di bawah 71 keterangannya tidak disarankan, jika skor di bawah 86 keterangan dipertimbangkan, jika skor diatas 86 keterangannya disarankan"
b3,B,Latar Belakang Keluarga,Status tempat tinggal,Skala 1-6,Rumah pribadi yang sederhana dengan jumlah anggota keluarga ? 4,Rumah pribadi yang sederhana dengan jumlah anggota keluarga ? 5,"Bukan rumah pribadi tanpa biaya sewa (tumpangan, asrama atau panti asuhan)",Bukan rumah pribadi dengan biaya sewa (kontrakan),"Jika skor di bawah 71 keterangannya tidak disarankan, jika skor di bawah 86 keterangan dipertimbangkan, jika skor diatas 86 keterangannya disarankan"
b4,B,Latar Belakang Keluarga,Peralatan elektronik rumah yang dimiliki,Skala 1-7,Memiliki ? 4 peralatan elektronik; memiliki mobil pribadi,Memiliki ? 4 peralatan elektronik; memiliki > 1 motor pribadi,Memiliki ? 4 peralatan elektronik; hanya memiliki 1 motor pribadi,Hanya memiliki ? 3 peralatan elektronik inti; tidak memiliki kendaraan pribadi,"Jika skor di bawah 71 keterangannya tidak disarankan, jika skor di bawah 86 keterangan dipertimbangkan, jika skor diatas 86 keterangannya disarankan"
b5,B,Latar Belakang Keluarga,Upaya keluarga mengawasi perkembangan belajar calon penerima manfaat,Skala 1-8,Keluarga sama sekali tidak mengontrol perkembangan belajar calon PM,Keluarga jarang mengontrol perkembangan belajar calon PM (hanya tiap tahun),Keluarga sering mengontrol perkembangan belajar calon PM (hanya tiap semester),Keluarga selalu mengontrol perkembangan belajar calon PM (setiap bulan),"Jika skor di bawah 71 keterangannya tidak disarankan, jika skor di bawah 86 keterangan dipertimbangkan, jika skor diatas 86 keterangannya disarankan"
c1,C,Latar Belakang Penerima Manfaat,Kondisi fisik,Skala 1-9,Difabel atau memiliki penyakit berat yang harus ditangani secara khusus,"Pernah dirawat karena penyakit yang akut, atau memiliki keluhan suatu penyakit berat",Berbadan sehat dan kondisi fisik kurang stabil (mudah sakit),Berbadan sehat dan kondisi fisik stabil,"Jika skor di bawah 71 keterangannya tidak disarankan, jika skor di bawah 86 keterangan dipertimbangkan, jika skor diatas 86 keterangannya disarankan"
c2,C,Latar Belakang Penerima Manfaat,Akhlak calon penerima manfaat terhadap anggota keluarga,Skala 1-10,Calon PM memiliki akhlak yang tidak baik terhadap anggota keluarga,Calon PM memiliki akhlak yang cukup/kurang baik terhadap anggota keluarga,Calon PM memiliki akhlak yang baik terhadap anggota keluarga,Calon PM memiliki akhlak yang baik terhadap anggota keluarga dan mengajak anggota keluarga yang lain untuk berakhlak yang sama,"Jika skor di bawah 71 keterangannya tidak disarankan, jika skor di bawah 86 keterangan dipertimbangkan, jika skor diatas 86 keterangannya disarankan"
c3,C,Latar Belakang Penerima Manfaat,Akhlak calon penerima manfaat dengan tetangga dan teman sebaya,Skala 1-11,Calon PM memiliki akhlak yang tidak baik terhadap tetangga dan teman sebaya,Calon PM memiliki akhlak yang cukup/kurang baik terhadap tetangga dan teman sebaya,Calon PM memiliki akhlak yang baik terhadap tetangga dan teman sebaya,"Calon PM memiliki akhlak yang baik terhadap tetangga dan teman sebaya, serta mengajak mereka untuk melakukan perbuatan yang sama","Jika skor di bawah 71 keterangannya tidak disarankan, jika skor di bawah 86 keterangan dipertimbangkan, jika skor diatas 86 keterangannya disarankan"
c4,C,Latar Belakang Penerima Manfaat,Aktivitas belajar calon penerima manfaat di rumah,Skala 1-12,Tidak pernah belajar,Hanya belajar saat akan ada ujian,Mengerjakan PR atau tugas di rumah dan mempersiapkan ujian dengan baik,"Selalu mengulang pelajaran, mengerjakan PR/tugas di rumah, dan mempersiapkan ujian dengan baik","Jika skor di bawah 71 keterangannya tidak disarankan, jika skor di bawah 86 keterangan dipertimbangkan, jika skor diatas 86 keterangannya disarankan"
c5,C,Latar Belakang Penerima Manfaat,"Keterlibatan calon penerima manfaat dalam kegiatan organisasi, komunitas, kepanitiaan, dan-lain-lain",Skala 1-13,"Tidak aktif sama sekali dalam kegiatan organisasi, komunitas atau kepanitiaan","Pernah aktif dalam sebuah organisasi, komunitas atau kepanitiaan","Aktif sebagai anggota dalam sebuah organisasi, komunitas atau kepanitiaan","Aktif sebagai pengurus inti dalam sebuah organisasi, komunitas atau kepanitiaan","Jika skor di bawah 71 keterangannya tidak disarankan, jika skor di bawah 86 keterangan dipertimbangkan, jika skor diatas 86 keterangannya disarankan"
